case_id,left_task_id,right_task_id,normalized_vote,task_description,has_gif_files,has_json_files,ready_for_evaluation
14_05_2025_17_59_52_cUE_14_05_2025_17_59_52_QEL,14_05_2025_17_59_52_cUE,14_05_2025_17_59_52_QEL,Right,"Go to the New York Times website and find the main feature article on the homepage. Click on the article, read it, and summarize the main points in 3-5 bullet points.",False,False,False
14_05_2025_18_03_01_nKI_14_05_2025_18_03_01_Clw,14_05_2025_18_03_01_nKI,14_05_2025_18_03_01_Clw,Right,Compare the train prices for one-way tickets from London Euston to Manchester next Saturday on national rail and trainline websites,False,False,False
14_05_2025_17_53_58_prF_14_05_2025_17_53_58_gTF,14_05_2025_17_53_58_prF,14_05_2025_17_53_58_gTF,Left,compare the prices of the latest PC graphics cards,False,False,False
14_05_2025_19_02_27_sEq_14_05_2025_19_02_27_zun,14_05_2025_19_02_27_sEq,14_05_2025_19_02_27_zun,Right,"Visit the official Nike website and find three different men's running shoes priced under $100. List their names, prices, and available sizes.",False,False,False
14_05_2025_19_02_27_sEq_14_05_2025_19_02_27_zun,14_05_2025_19_02_27_sEq,14_05_2025_19_02_27_zun,Right,"Visit the official Nike website and find three different men's running shoes priced under $100. List their names, prices, and available sizes.",False,False,False
14_05_2025_19_02_27_sEq_14_05_2025_19_02_27_zun,14_05_2025_19_02_27_sEq,14_05_2025_19_02_27_zun,Right,"Visit the official Nike website and find three different men's running shoes priced under $100. List their names, prices, and available sizes.",False,False,False
14_05_2025_19_02_27_sEq_14_05_2025_19_02_27_zun,14_05_2025_19_02_27_sEq,14_05_2025_19_02_27_zun,Right,"Visit the official Nike website and find three different men's running shoes priced under $100. List their names, prices, and available sizes.",False,False,False
14_05_2025_20_29_51_HNC_14_05_2025_20_29_51_SPJ,14_05_2025_20_29_51_HNC,14_05_2025_20_29_51_SPJ,Left,What are today's top 5 headlines from the Peninsula Clarion?,False,False,False
14_05_2025_20_30_27_HOH_14_05_2025_20_30_27_tLY,14_05_2025_20_30_27_HOH,14_05_2025_20_30_27_tLY,Right,What are the top 10 french wines from vintage 1996?,False,False,False
14_05_2025_21_56_09_Kin_14_05_2025_21_56_09_zIi,14_05_2025_21_56_09_Kin,14_05_2025_21_56_09_zIi,Left,Find the current best-selling fiction books on Amazon and note their prices and user ratings.,False,False,False
14_05_2025_22_16_02_rnf_14_05_2025_22_16_02_KKp,14_05_2025_22_16_02_rnf,14_05_2025_22_16_02_KKp,Right,"Find me a one-way ticket from ATL to ORD on June 24, 2025 and make sure it is nonstop. Compare different airline prices.",False,False,False
14_05_2025_22_34_20_ZOi_14_05_2025_22_34_20_wQY,14_05_2025_22_34_20_ZOi,14_05_2025_22_34_20_wQY,Tie,"Can you give me a rundown of the lore from the video game series Halo, from Halo CE to Halo 3",False,False,False
14_05_2025_23_44_09_sck_14_05_2025_23_44_09_RFZ,14_05_2025_23_44_09_sck,14_05_2025_23_44_09_RFZ,Left,what are today's top 20 headlines from CBC,False,False,False
15_05_2025_02_15_52_BkR_15_05_2025_02_15_52_wyN,15_05_2025_02_15_52_BkR,15_05_2025_02_15_52_wyN,Right,compare scholarships available in canada,False,False,False
15_05_2025_02_07_18_dqY_15_05_2025_02_07_18_ySh,15_05_2025_02_07_18_dqY,15_05_2025_02_07_18_ySh,Left,What are the first five upcoming events listed on the home page of the Meridian Library District website?,False,False,False
15_05_2025_02_37_40_QEa_15_05_2025_02_37_40_CQB,15_05_2025_02_37_40_QEa,15_05_2025_02_37_40_CQB,Left,List the 7 eye-care features for greater comfort and each of their attributes listed on the website honor.com for the Honor Magic 7 Pro. Then search google and gsmarena to find any other smartphones t...,False,False,False
15_05_2025_03_14_33_Pbg_15_05_2025_03_14_33_CWU,15_05_2025_03_14_33_Pbg,15_05_2025_03_14_33_CWU,Left,Tell me the names of the top 5 nba players from nba.com,False,False,False
15_05_2025_03_25_18_RUV_15_05_2025_03_25_18_lkG,15_05_2025_03_25_18_RUV,15_05_2025_03_25_18_lkG,Right,Give me the top 5 recipes for chicken noodle soup from 5 different websites.,False,False,False
