interaction_num,vote_type,user_task,side,model_name,gif_id,log_id,status
16,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_21_36_59_AvQ.gif,09_05_2025_21_36_59_AvQ,FAILED
17,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,09_05_2025_21_41_14_YwM.gif,09_05_2025_21_41_14_YwM,FAILED
17,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_21_41_14_DvE.gif,09_05_2025_21_41_14_DvE,FAILED
18,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_22_23_29_cgB.gif,09_05_2025_22_23_29_cgB,FAILED
18,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_22_23_29_IXB.gif,09_05_2025_22_23_29_IXB,FAILED
19,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,09_05_2025_22_44_26_YNT.gif,09_05_2025_22_44_26_YNT,FAILED
19,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,09_05_2025_22_44_26_xEk.gif,09_05_2025_22_44_26_xEk,FAILED
20,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,09_05_2025_22_39_53_FuI.gif,09_05_2025_22_39_53_FuI,SUCCESS
20,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_22_39_53_htb.gif,09_05_2025_22_39_53_htb,FAILED
21,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,09_05_2025_23_09_20_BUj.gif,09_05_2025_23_09_20_BUj,SUCCESS
21,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_23_09_20_MfC.gif,09_05_2025_23_09_20_MfC,FAILED
22,tievote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,10_05_2025_00_00_27_IAX.gif,10_05_2025_00_00_27_IAX,FAILED
22,tievote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,10_05_2025_00_00_27_TVe.gif,10_05_2025_00_00_27_TVe,FAILED
23,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,10_05_2025_01_14_08_PHv.gif,10_05_2025_01_14_08_PHv,FAILED
23,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,10_05_2025_01_14_08_RLX.gif,10_05_2025_01_14_08_RLX,FAILED
24,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,10_05_2025_01_25_04_TAY.gif,10_05_2025_01_25_04_TAY,FAILED
24,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,10_05_2025_01_25_04_TTJ.gif,10_05_2025_01_25_04_TTJ,FAILED
25,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,10_05_2025_01_37_05_xIM.gif,10_05_2025_01_37_05_xIM,FAILED
25,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,10_05_2025_01_37_05_jxR.gif,10_05_2025_01_37_05_jxR,FAILED
26,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,10_05_2025_02_04_43_gWk.gif,10_05_2025_02_04_43_gWk,FAILED
26,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,10_05_2025_02_04_43_lFr.gif,10_05_2025_02_04_43_lFr,FAILED
27,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,10_05_2025_03_04_51_sSy.gif,10_05_2025_03_04_51_sSy,SUCCESS
27,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,10_05_2025_03_04_51_idu.gif,10_05_2025_03_04_51_idu,FAILED
28,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,10_05_2025_03_16_40_dQm.gif,10_05_2025_03_16_40_dQm,FAILED
28,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,10_05_2025_03_16_40_fSK.gif,10_05_2025_03_16_40_fSK,FAILED
29,rightvote,what are today's top 10 sports news headlines,LEFT,google/gemini-2.5-pro-preview-03-25,10_05_2025_03_41_38_tUR.gif,10_05_2025_03_41_38_tUR,FAILED
29,rightvote,what are today's top 10 sports news headlines,RIGHT,deepseek/deepseek-r1,10_05_2025_03_41_38_ygE.gif,10_05_2025_03_41_38_ygE,FAILED
30,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,11_05_2025_04_28_09_hSQ.gif,11_05_2025_04_28_09_hSQ,SUCCESS
30,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,11_05_2025_04_28_09_efj.gif,11_05_2025_04_28_09_efj,FAILED
31,rightvote,Create a list of the top 10 highest rated video games from IGN.,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_04_50_35_dLM.gif,11_05_2025_04_50_35_dLM,FAILED
31,rightvote,Create a list of the top 10 highest rated video games from IGN.,RIGHT,meta-llama/llama-4-maverick,11_05_2025_04_50_35_pjT.gif,11_05_2025_04_50_35_pjT,FAILED
32,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_04_36_50_zuh.gif,11_05_2025_04_36_50_zuh,FAILED
32,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_04_36_50_kRW.gif,11_05_2025_04_36_50_kRW,FAILED
33,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_06_10_26_Lck.gif,11_05_2025_06_10_26_Lck,FAILED
33,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_06_10_26_QpD.gif,11_05_2025_06_10_26_QpD,FAILED
34,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_06_12_22_ScT.gif,11_05_2025_06_12_22_ScT,FAILED
34,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_06_12_22_GuP.gif,11_05_2025_06_12_22_GuP,FAILED
35,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,11_05_2025_06_38_30_pBK.gif,11_05_2025_06_38_30_pBK,FAILED
35,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,openai/o4-mini,11_05_2025_06_38_30_Yxu.gif,11_05_2025_06_38_30_Yxu,FAILED
36,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_06_11_16_bVY.gif,11_05_2025_06_11_16_bVY,FAILED
36,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,openai/o4-mini,11_05_2025_06_11_16_zDI.gif,11_05_2025_06_11_16_zDI,FAILED
37,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_06_47_08_gAp.gif,11_05_2025_06_47_08_gAp,FAILED
37,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_06_47_08_Erz.gif,11_05_2025_06_47_08_Erz,FAILED
38,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_07_28_41_LZs.gif,11_05_2025_07_28_41_LZs,FAILED
38,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,11_05_2025_07_28_41_zYJ.gif,11_05_2025_07_28_41_zYJ,FAILED
39,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,11_05_2025_07_31_35_GLU.gif,11_05_2025_07_31_35_GLU,FAILED
39,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,openai/o4-mini,11_05_2025_07_31_35_atF.gif,11_05_2025_07_31_35_atF,FAILED
40,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_08_09_43_nJw.gif,11_05_2025_08_09_43_nJw,FAILED
40,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,11_05_2025_08_09_43_LcZ.gif,11_05_2025_08_09_43_LcZ,FAILED
41,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_08_10_03_OcQ.gif,11_05_2025_08_10_03_OcQ,FAILED
41,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_08_10_03_qWU.gif,11_05_2025_08_10_03_qWU,FAILED
42,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_08_39_43_kNs.gif,11_05_2025_08_39_43_kNs,FAILED
42,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_08_39_43_xKr.gif,11_05_2025_08_39_43_xKr,FAILED
43,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,11_05_2025_05_43_38_Axf.gif,11_05_2025_05_43_38_Axf,FAILED
43,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_05_43_38_xXO.gif,11_05_2025_05_43_38_xXO,FAILED
44,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_08_38_16_sbS.gif,11_05_2025_08_38_16_sbS,SUCCESS
44,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,11_05_2025_08_38_16_UpM.gif,11_05_2025_08_38_16_UpM,FAILED
45,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_09_27_37_oRg.gif,11_05_2025_09_27_37_oRg,FAILED
45,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,11_05_2025_09_27_37_ppp.gif,11_05_2025_09_27_37_ppp,FAILED
46,rightvote,"Give me three names, prices, and one feature or material used in each of three Coffee tables from the IKEA website priced under $150.",LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_09_47_02_VYi.gif,11_05_2025_09_47_02_VYi,SUCCESS
46,rightvote,"Give me three names, prices, and one feature or material used in each of three Coffee tables from the IKEA website priced under $150.",RIGHT,deepseek/deepseek-r1,11_05_2025_09_47_02_HsO.gif,11_05_2025_09_47_02_HsO,FAILED
47,rightvote,what are today's top 10 sports news headlines,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_14_25_19_YhJ.gif,11_05_2025_14_25_19_YhJ,FAILED
47,rightvote,what are today's top 10 sports news headlines,RIGHT,meta-llama/llama-4-maverick,11_05_2025_14_25_19_FIv.gif,11_05_2025_14_25_19_FIv,FAILED
48,tievote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_14_34_53_PCs.gif,11_05_2025_14_34_53_PCs,FAILED
48,tievote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,11_05_2025_14_34_53_tdO.gif,11_05_2025_14_34_53_tdO,FAILED
49,rightvote,What are the 10 ways to save the planet while gardening according to rhs.org.uk?,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_14_47_18_Era.gif,11_05_2025_14_47_18_Era,FAILED
49,rightvote,What are the 10 ways to save the planet while gardening according to rhs.org.uk?,RIGHT,deepseek/deepseek-r1,11_05_2025_14_47_18_ZxX.gif,11_05_2025_14_47_18_ZxX,FAILED
50,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_14_32_29_BvX.gif,11_05_2025_14_32_29_BvX,FAILED
50,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_14_32_29_iUd.gif,11_05_2025_14_32_29_iUd,FAILED
51,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_16_31_49_Ibq.gif,11_05_2025_16_31_49_Ibq,FAILED
51,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_16_31_49_uth.gif,11_05_2025_16_31_49_uth,FAILED
52,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,11_05_2025_16_33_04_asV.gif,11_05_2025_16_33_04_asV,FAILED
52,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_16_33_04_ERr.gif,11_05_2025_16_33_04_ERr,SUCCESS
53,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,11_05_2025_17_06_51_Omm.gif,11_05_2025_17_06_51_Omm,FAILED
53,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,openai/o4-mini,11_05_2025_17_06_51_uKJ.gif,11_05_2025_17_06_51_uKJ,FAILED
54,rightvote,List all the UK airports fly that internationally,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_17_51_33_HXH.gif,11_05_2025_17_51_33_HXH,FAILED
54,rightvote,List all the UK airports fly that internationally,RIGHT,deepseek/deepseek-r1,11_05_2025_17_51_33_qse.gif,11_05_2025_17_51_33_qse,SUCCESS
55,rightvote,provide me 4 list of journal on wood treatment,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_17_35_23_AUA.gif,11_05_2025_17_35_23_AUA,FAILED
55,rightvote,provide me 4 list of journal on wood treatment,RIGHT,deepseek/deepseek-r1,11_05_2025_17_35_23_ErL.gif,11_05_2025_17_35_23_ErL,FAILED
56,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,11_05_2025_18_05_49_bNN.gif,11_05_2025_18_05_49_bNN,FAILED
56,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,11_05_2025_18_05_49_qWj.gif,11_05_2025_18_05_49_qWj,FAILED
57,leftvote,Give me a list of PS5 games that are on sale on the American PSN right now.,LEFT,x-ai/grok-3-beta,03_05_2025_04_39_44_lfl.gif,03_05_2025_04_39_44_lfl,SUCCESS
57,leftvote,Give me a list of PS5 games that are on sale on the American PSN right now.,RIGHT,google/gemini-2.5-pro-preview-03-25,03_05_2025_04_39_44_LpZ.gif,03_05_2025_04_39_44_LpZ,FAILED
58,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,deepseek/deepseek-r1,03_05_2025_05_09_32_ews.gif,03_05_2025_05_09_32_ews,FAILED
58,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,03_05_2025_05_09_32_cgp.gif,03_05_2025_05_09_32_cgp,SUCCESS
59,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,03_05_2025_21_13_18_MuP.gif,03_05_2025_21_13_18_MuP,FAILED
59,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,03_05_2025_21_13_18_maG.gif,03_05_2025_21_13_18_maG,SUCCESS
60,leftvote,What was the trending price of gold in comparison to nasdaq in the last 60 days?,LEFT,google/gemini-2.5-pro-preview-03-25,03_05_2025_21_12_20_pzJ.gif,03_05_2025_21_12_20_pzJ,FAILED
60,leftvote,What was the trending price of gold in comparison to nasdaq in the last 60 days?,RIGHT,openai/o4-mini,03_05_2025_21_12_20_HMD.gif,03_05_2025_21_12_20_HMD,FAILED
61,rightvote,What is the top 10 stream song currently on apple music?,LEFT,deepseek/deepseek-r1,NOT_FOUND,NOT_FOUND,SUCCESS
61,rightvote,What is the top 10 stream song currently on apple music?,RIGHT,x-ai/grok-3-beta,NOT_FOUND,NOT_FOUND,SUCCESS
62,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,09_05_2025_23_54_56_qXn.gif,09_05_2025_23_54_56_qXn,FAILED
62,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,google/gemini-2.5-pro-preview-03-25,09_05_2025_23_54_56_lGf.gif,09_05_2025_23_54_56_lGf,FAILED
63,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,10_05_2025_03_50_52_aUr.gif,10_05_2025_03_50_52_aUr,FAILED
63,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,10_05_2025_03_50_52_mxm.gif,10_05_2025_03_50_52_mxm,FAILED
64,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,11_05_2025_04_18_25_WsH.gif,11_05_2025_04_18_25_WsH,FAILED
64,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,11_05_2025_04_18_25_ZyS.gif,11_05_2025_04_18_25_ZyS,FAILED
65,leftvote,what guitar does acousticguitarforum.com recommend as best for beginners,LEFT,meta-llama/llama-4-maverick,NOT_FOUND,NOT_FOUND,FAILED
65,leftvote,what guitar does acousticguitarforum.com recommend as best for beginners,RIGHT,anthropic/claude-3.7-sonnet:thinking,NOT_FOUND,NOT_FOUND,FAILED
66,rightvote,What are the top five songs on cmt.com?,LEFT,google/gemini-2.5-pro-preview-03-25,11_05_2025_07_24_02_guO.gif,11_05_2025_07_24_02_guO,FAILED
66,rightvote,What are the top five songs on cmt.com?,RIGHT,deepseek/deepseek-r1,11_05_2025_07_24_02_PwH.gif,11_05_2025_07_24_02_PwH,FAILED
67,rightvote,Compare flight prices from washington DC to Paris france to flights from washington DC to Kyoto Japan,LEFT,deepseek/deepseek-r1,NOT_FOUND,NOT_FOUND,SUCCESS
67,rightvote,Compare flight prices from washington DC to Paris france to flights from washington DC to Kyoto Japan,RIGHT,google/gemini-2.5-pro-preview-03-25,12_05_2025_03_44_04_AeP.gif,12_05_2025_03_44_04_AeP,FAILED
68,rightvote,Create a list of the 10 best horror movies and include 3 Stephen King movies in that list.,LEFT,x-ai/grok-3-beta,12_05_2025_03_49_08_znz.gif,12_05_2025_03_49_08_znz,FAILED
68,rightvote,Create a list of the 10 best horror movies and include 3 Stephen King movies in that list.,RIGHT,google/gemini-2.5-pro-preview-03-25,12_05_2025_03_49_08_ZIj.gif,12_05_2025_03_49_08_ZIj,FAILED
69,rightvote,What is the hottest weather report in the UK today from BBC weather?,LEFT,x-ai/grok-3-beta,07_05_2025_15_28_05_yOU.gif,07_05_2025_15_28_05_yOU,FAILED
69,rightvote,What is the hottest weather report in the UK today from BBC weather?,RIGHT,meta-llama/llama-4-maverick,07_05_2025_15_28_05_EbZ.gif,07_05_2025_15_28_05_EbZ,FAILED
70,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,07_05_2025_15_13_54_flC.gif,07_05_2025_15_13_54_flC,FAILED
70,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,deepseek/deepseek-r1,07_05_2025_15_13_54_ndq.gif,07_05_2025_15_13_54_ndq,FAILED
71,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,openai/o4-mini,07_05_2025_15_45_37_FDR.gif,07_05_2025_15_45_37_FDR,FAILED
71,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,x-ai/grok-3-beta,07_05_2025_15_45_37_RfJ.gif,07_05_2025_15_45_37_RfJ,FAILED
72,leftvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,07_05_2025_15_41_55_LST.gif,07_05_2025_15_41_55_LST,FAILED
72,leftvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,anthropic/claude-3.7-sonnet:thinking,07_05_2025_15_41_55_OKo.gif,07_05_2025_15_41_55_OKo,FAILED
73,tievote,Give me a summary of top 10 philanonymous LLM company foundations that give grants in  favor of LGBTQI community.,LEFT,x-ai/grok-3-beta,07_05_2025_16_08_42_cZf.gif,07_05_2025_16_08_42_cZf,FAILED
73,tievote,Give me a summary of top 10 philanonymous LLM company foundations that give grants in  favor of LGBTQI community.,RIGHT,meta-llama/llama-4-maverick,07_05_2025_16_08_42_ceu.gif,07_05_2025_16_08_42_ceu,FAILED
74,tievote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,07_05_2025_17_17_20_xqV.gif,07_05_2025_17_17_20_xqV,FAILED
74,tievote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,openai/o4-mini,07_05_2025_17_17_20_jBO.gif,07_05_2025_17_17_20_jBO,FAILED
75,rightvote,Got any creative ideas for a 10 year old’s birthday?,LEFT,anthropic/claude-3.7-sonnet:thinking,07_05_2025_18_05_35_okT.gif,07_05_2025_18_05_35_okT,FAILED
75,rightvote,Got any creative ideas for a 10 year old’s birthday?,RIGHT,meta-llama/llama-4-maverick,07_05_2025_18_05_35_iPJ.gif,07_05_2025_18_05_35_iPJ,FAILED
76,tievote,Got any creative ideas for a 10 year old’s birthday?,LEFT,meta-llama/llama-4-maverick,07_05_2025_17_52_02_oTk.gif,07_05_2025_17_52_02_oTk,SUCCESS
