response_id,task_question,left_case_id,right_case_id,combined_case_id
R_2LgXZENYLorndUl,what is the third most read article on which.com?,11_05_2025_08_09_43_nJw,11_05_2025_08_09_43_LcZ,11_05_2025_08_09_43_nJw_11_05_2025_08_09_43_LcZ
R_21bljU2eT4NPAEa,Find the current top 10 trending movies on IMDb and list their titles along with their user ratings,11_05_2025_08_10_03_OcQ,11_05_2025_08_10_03_qWU,11_05_2025_08_10_03_OcQ_11_05_2025_08_10_03_qWU
R_1r0wZgD2xeT0DdL,Who are the winners of ballon d'or for the last 5 years?,11_05_2025_08_39_43_kNs,11_05_2025_08_39_43_xKr,11_05_2025_08_39_43_kNs_11_05_2025_08_39_43_xKr
R_338EynY5SfnF5sV,Compare the plane ticket planes price for round trip airfare from New York To Hawaii on different plane ticket purchasing websites. ,11_05_2025_05_43_38_Axf,11_05_2025_05_43_38_xXO,11_05_2025_05_43_38_Axf_11_05_2025_05_43_38_xXO
R_9v2F62HjBNMmOG5,Compare the specifications of smartphones on the honor magic 7 pro to the Iqoo 13. ,11_05_2025_08_38_16_sbS,11_05_2025_08_38_16_UpM,11_05_2025_08_38_16_sbS_11_05_2025_08_38_16_UpM
R_2pZ3k5IDmfaTbLp,Find me the last available train from Cardiff Central to Barry Docks station today on trainline,11_05_2025_09_27_37_oRg,11_05_2025_09_27_37_ppp,11_05_2025_09_27_37_oRg_11_05_2025_09_27_37_ppp
R_1hShwFWxg2fxi2m,"Give me three names, prices, and one feature or material used in each of three Coffee tables from the IKEA website priced under $150.",11_05_2025_09_47_02_VYi,11_05_2025_09_47_02_HsO,11_05_2025_09_47_02_VYi_11_05_2025_09_47_02_HsO
R_2Ph3pnHhmCcIF34,What is the best rated Samsung TV according to which?,11_05_2025_14_19_12_TeJ,11_05_2025_14_19_12_veF,11_05_2025_14_19_12_TeJ_11_05_2025_14_19_12_veF
R_2RyekFYYDKT6sla,what are today's top 10 sports news headlines,11_05_2025_14_25_19_YhJ,11_05_2025_14_25_19_FIv,11_05_2025_14_25_19_YhJ_11_05_2025_14_25_19_FIv
R_3MYCEfXsDI1UZPb,give me the list of the last ten national teams to win the world cup,11_05_2025_14_22_03_XJs,11_05_2025_14_22_03_UuM,11_05_2025_14_22_03_XJs_11_05_2025_14_22_03_UuM
R_8YS92ZKgQ2WHrS9,What are the 10 ways to save the planet while gardening according to rhs.org.uk?,11_05_2025_14_47_18_Era,11_05_2025_14_47_18_ZxX,11_05_2025_14_47_18_Era_11_05_2025_14_47_18_ZxX
R_1Vp4cRcvaxht3mF,"Go to Tripadvisor and find the top 3 rated hotels in Barcelona, Spain with free Wi-Fi and breakfast included. List their names, average user rating, and the starting price per night.",11_05_2025_14_34_53_PCs,11_05_2025_14_34_53_tdO,11_05_2025_14_34_53_PCs_11_05_2025_14_34_53_tdO
R_7wT4TcWjBGOHz2l,What are the top 20 rarest vintage bottle caps in the world?,11_05_2025_14_32_29_BvX,11_05_2025_14_32_29_iUd,11_05_2025_14_32_29_BvX_11_05_2025_14_32_29_iUd
R_8g5r59VanA7hz3N,Find the current top 5 trending indie games on Steam's 'Popular Upcoming' list and summarize their genres and release dates.,11_05_2025_15_23_15_HWs,11_05_2025_15_23_15_iFQ,11_05_2025_15_23_15_HWs_11_05_2025_15_23_15_iFQ
R_8oFoh3h4LclS5N7,"Go to Amazon.com, search for '4K TVs,' sort by 'Avg. Customer Reviews,' and list the top 5 models along with their star ratings and prices.",11_05_2025_16_37_10_TjY,11_05_2025_16_37_10_Qis,11_05_2025_16_37_10_TjY_11_05_2025_16_37_10_Qis
R_2dSEMbPHcAjB04a,"Compare prices for different brands of laptops using sites like Amazon or Best Buy let you compare specs, reviews, and costs.",11_05_2025_16_31_49_Ibq,11_05_2025_16_31_49_uth,11_05_2025_16_31_49_Ibq_11_05_2025_16_31_49_uth
R_3P6rWZrIwB8cAet,Make me a list of the top most played heroes in Overwatch 2,11_05_2025_16_33_04_asV,11_05_2025_16_33_04_ERr,11_05_2025_16_33_04_asV_11_05_2025_16_33_04_ERr
R_8qEXxFEPnt7uWFJ,Please return the total number of competitive goals Henrik Larsson scored for Glasgow Celtic football club giving subtotals by the teams he scored against.,11_05_2025_17_06_51_Omm,11_05_2025_17_06_51_uKJ,11_05_2025_17_06_51_Omm_11_05_2025_17_06_51_uKJ
R_63y1jFz2LxF8SEp,provide me 4 list of journal on wood treatment ,11_05_2025_17_35_23_AUA,11_05_2025_17_35_23_ErL,11_05_2025_17_35_23_AUA_11_05_2025_17_35_23_ErL
R_2L8g0f26qkfqMI9,List all the UK airports fly that internationally,11_05_2025_17_51_33_HXH,11_05_2025_17_51_33_qse,11_05_2025_17_51_33_HXH_11_05_2025_17_51_33_qse
R_8PndC7ldN3OSzL2,What are the top 10 Rides at alton towers for families ranging from ages 2 to adults?,11_05_2025_18_05_49_bNN,11_05_2025_18_05_49_qWj,11_05_2025_18_05_49_bNN_11_05_2025_18_05_49_qWj
R_1wR0r3h1yaNxAtP,"How many nonstop flights to Las Vegas depart from Portland, Oregon every day and what airlines operate them?",12_05_2025_03_54_21_KhV,12_05_2025_03_54_21_dPl,12_05_2025_03_54_21_KhV_12_05_2025_03_54_21_dPl
R_7G81SMQWK8DnwzP,"Compare flight prices from Washington DC to Paris, France vs Washington DC to Kyoto Japan in 2025",12_05_2025_03_47_09_Uhi,12_05_2025_03_47_09_SDo,12_05_2025_03_47_09_Uhi_12_05_2025_03_47_09_SDo
R_2L08NUT9qXaHRUF,Create a summary for the wikipedia article about Manchester Metrolink,12_05_2025_04_05_21_mCX,12_05_2025_04_05_21_eYC,12_05_2025_04_05_21_mCX_12_05_2025_04_05_21_eYC
R_6qqxafCTL8kGuZz,top 5 wildlife rescue,12_05_2025_04_04_11_JDJ,12_05_2025_04_04_11_fyc,12_05_2025_04_04_11_JDJ_12_05_2025_04_04_11_fyc
R_1At0oj41Bb2OUw1,"Go to Etsy.com, browse the trending home décor category, and list the top 5 most popular items including their titles and prices.",12_05_2025_03_56_29_aty,12_05_2025_03_56_29_nGd,12_05_2025_03_56_29_aty_12_05_2025_03_56_29_nGd
R_5dzatrzwdT0pK13,find me any recipe on food.com ,12_05_2025_05_13_04_KAL,12_05_2025_05_13_04_yaD,12_05_2025_05_13_04_KAL_12_05_2025_05_13_04_yaD
R_3TzzEr0UXdTIDdV,"Go to the New York Times website, navigate to the 'World' section, and tell me the headline of the top story.
",12_05_2025_06_15_45_jad,12_05_2025_06_15_45_pDI,12_05_2025_06_15_45_jad_12_05_2025_06_15_45_pDI
R_699Ry5EM2jidygJ,Find me the cheapest per count neutral white A19 LED light bulbs on Amazon.com,12_05_2025_05_10_20_GJx,12_05_2025_05_10_20_VeZ,12_05_2025_05_10_20_GJx_12_05_2025_05_10_20_VeZ
R_2q4ALLuFQtgNQ4A,please search for the names of all presidents from Wikipedia ,14_05_2025_07_38_08_bTo,14_05_2025_07_38_08_vYz,14_05_2025_07_38_08_bTo_14_05_2025_07_38_08_vYz
R_2DjLaBInEh8hOa5,Go to the BBC News website and list the top five headlines currently featured on the homepage,14_05_2025_09_52_42_Acd,14_05_2025_09_52_42_Xhc,14_05_2025_09_52_42_Acd_14_05_2025_09_52_42_Xhc
R_6aVUSHPETeKbJGF,what are the top 5 headlines today on CP24?,14_05_2025_16_51_15_cDL,14_05_2025_16_51_15_rqG,14_05_2025_16_51_15_cDL_14_05_2025_16_51_15_rqG
R_3qam7YuFMP3s59D,Compare flight prices to a one way trip to Montreal next Friday on different booking websites to find the cheapest flight,14_05_2025_17_11_59_jbE,14_05_2025_17_11_59_xtG,14_05_2025_17_11_59_jbE_14_05_2025_17_11_59_xtG
R_2YYGiL2bHLYala1,"Go to the New York Times website and find the main feature article on the homepage. Click on the article, read it, and summarize the main points in 3-5 bullet points.",14_05_2025_17_59_52_cUE,14_05_2025_17_59_52_QEL,14_05_2025_17_59_52_cUE_14_05_2025_17_59_52_QEL
R_87stMmj6CwJEaPS,Compare the train prices for one-way tickets from London Euston to Manchester next Saturday on national rail and trainline websites,14_05_2025_18_03_01_nKI,14_05_2025_18_03_01_Clw,14_05_2025_18_03_01_nKI_14_05_2025_18_03_01_Clw
R_8KWBgwxFkvPy9Ut,compare the prices of the latest PC graphics cards,14_05_2025_17_53_58_prF,14_05_2025_17_53_58_gTF,14_05_2025_17_53_58_prF_14_05_2025_17_53_58_gTF
R_4LSV0bxQPMZ1EXk,"Narrow down the 3 or more TUV Rheinland certifications for eye care/health on the Honor Magic 7 Pro and list what they all are. Then search trusted and reputable websites to cross-reference and look for any other smartphones that offer at least the same eye health benefits or more, or number of eye health benefits or more, for a smartphone screen.",14_05_2025_19_00_41_aPL,14_05_2025_19_00_41_RxH,14_05_2025_19_00_41_aPL_14_05_2025_19_00_41_RxH
R_3jdqSVNYG7D55KI,"Visit the official Nike website and find three different men's running shoes priced under $100. List their names, prices, and available sizes.",14_05_2025_19_02_27_sEq,14_05_2025_19_02_27_zun,14_05_2025_19_02_27_sEq_14_05_2025_19_02_27_zun
R_2FEWmLmXpVNEn6J,"Go to the New York Times website and find the most recent book review in the ""Books"" section. Summarize the main points of the review and identify the title and author of the book being reviewed.

Make sure to copy and paste this exact text both into the answer box on this page and when submitting the task to the AI agent on the other website.",14_05_2025_20_23_48_mmZ,14_05_2025_20_23_48_qjz,14_05_2025_20_23_48_mmZ_14_05_2025_20_23_48_qjz
R_5yrcSyYKqOMLtBa,What are today's top 5 headlines from the Peninsula Clarion?,14_05_2025_20_29_51_HNC,14_05_2025_20_29_51_SPJ,14_05_2025_20_29_51_HNC_14_05_2025_20_29_51_SPJ
R_50pkWKFgYI9CdZf,What are the top 10 french wines from vintage 1996?,14_05_2025_20_30_27_HOH,14_05_2025_20_30_27_tLY,14_05_2025_20_30_27_HOH_14_05_2025_20_30_27_tLY
R_5O0RVUwXS0h3Onr,"Go to nba.com, find the box score for yesterday's Indiana Pacers vs Cleveland Cavaliers game, and then relay the top 5 performers of that game.",14_05_2025_21_50_23_OEq,14_05_2025_21_50_23_MEE,14_05_2025_21_50_23_OEq_14_05_2025_21_50_23_MEE
R_6mCNFOX8ur1e2cV,"Give me a list of four highly rated hotels in Los Angeles, California.",14_05_2025_21_56_17_HBv,14_05_2025_21_56_17_GHu,14_05_2025_21_56_17_HBv_14_05_2025_21_56_17_GHu
R_7oXdF0GowimODV8,Find the current best-selling fiction books on Amazon and note their prices and user ratings.,14_05_2025_21_56_09_Kin,14_05_2025_21_56_09_zIi,14_05_2025_21_56_09_Kin_14_05_2025_21_56_09_zIi
R_6W3Ql9hqj5uc9MJ,"Find me a one-way ticket from ATL to ORD on June 24, 2025 and make sure it is nonstop. Compare different airline prices.",14_05_2025_22_16_02_rnf,14_05_2025_22_16_02_KKp,14_05_2025_22_16_02_rnf_14_05_2025_22_16_02_KKp
R_8BX1EEOHK2R0rW9,"Can you give me a rundown of the lore from the video game series Halo, from Halo CE to Halo 3",14_05_2025_22_34_20_ZOi,14_05_2025_22_34_20_wQY,14_05_2025_22_34_20_ZOi_14_05_2025_22_34_20_wQY
R_6eFVHKHDK1OM4Jw,what are today's top 20 headlines from CBC,14_05_2025_23_44_09_sck,14_05_2025_23_44_09_RFZ,14_05_2025_23_44_09_sck_14_05_2025_23_44_09_RFZ
R_531E9gLCW0Q2cvj,compare scholarships available in canada,15_05_2025_02_15_52_BkR,15_05_2025_02_15_52_wyN,15_05_2025_02_15_52_BkR_15_05_2025_02_15_52_wyN
R_3CUp1idQurStXNL,What are the first five upcoming events listed on the home page of the Meridian Library District website?,15_05_2025_02_07_18_dqY,15_05_2025_02_07_18_ySh,15_05_2025_02_07_18_dqY_15_05_2025_02_07_18_ySh
R_323Ijx58tsYvzHj,Explore the National Park Service’s virtual tour of Ellis Island and write a short paragraph (3-5 sentences) describing what immigrants might have experienced upon arrival in the early 20th century.,15_05_2025_02_19_08_jWZ,15_05_2025_02_19_08_WLM,15_05_2025_02_19_08_jWZ_15_05_2025_02_19_08_WLM
R_4OvssAh49ZfIVGR,List the 7 eye-care features for greater comfort and each of their attributes listed on the website honor.com for the Honor Magic 7 Pro. Then search google and gsmarena to find any other smartphones that have at least 6 eye-care features or more only.,15_05_2025_02_37_40_QEa,15_05_2025_02_37_40_CQB,15_05_2025_02_37_40_QEa_15_05_2025_02_37_40_CQB
R_6jjqmyxRJ91sfZE,what are the top 10 high scores on typeracer currently,15_05_2025_02_52_49_SZo,15_05_2025_02_52_49_Lnw,15_05_2025_02_52_49_SZo_15_05_2025_02_52_49_Lnw
R_34ecPss7ZKELgMP,"1. Go to the IMDb website and list the top 5 highest-rated movies released in the past year.
2. Visit Airbnb and find the average nightly price for a private room in Paris, France, for a weekend two months from now.",15_05_2025_02_48_47_Okl,15_05_2025_02_48_47_tOt,15_05_2025_02_48_47_Okl_15_05_2025_02_48_47_tOt
R_5BfE8QpW0UonR2Y,Can you tell me the top 5 rated anime tv series in the last 10 years on imdb.com ,15_05_2025_02_45_49_bkN,15_05_2025_02_45_49_xXw,15_05_2025_02_45_49_bkN_15_05_2025_02_45_49_xXw
R_5a15Gp7L4TiXWMx,Tell me the names of the top 5 nba players from nba.com,15_05_2025_03_14_33_Pbg,15_05_2025_03_14_33_CWU,15_05_2025_03_14_33_Pbg_15_05_2025_03_14_33_CWU
R_6BcJdU1gIO4AfyV,Give me the top 5 recipes for chicken noodle soup from 5 different websites.,15_05_2025_03_25_18_RUV,15_05_2025_03_25_18_lkG,15_05_2025_03_25_18_RUV_15_05_2025_03_25_18_lkG
