Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681b768b8f6f11abcb18f1ac,67d719970f1f220b3f2a7146,APPROVED,Not Applicable,2025-05-07T15:07:17.980000Z,2025-05-07T15:56:17.378000Z,2025-05-07T17:09:08.063000Z,2025-05-07T16:17:39.095801Z,2940.0,C41MHPUZ,421,39,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
681b779133e48fa34052f3ce,6737e90a9048106a0d79777a,RETURNED,Not Applicable,2025-05-07T15:09:15.647000Z,,,2025-05-14T07:37:13.465154Z,,,610,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7884bd4dcb0823298b87,67e2f123f41a90fffbdb432c,RETURNED,Not Applicable,2025-05-07T15:13:14.788000Z,,,2025-05-14T07:37:13.468469Z,,,195,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7a6a317046153107cf31,64137cf15dfe79e9ff198054,RETURNED,Not Applicable,2025-05-07T15:21:26.162000Z,,,2025-05-14T07:37:13.470599Z,,,1568,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7ab030b1de89750ffe9a,6781935f0fbff63cc8eb3595,RETURNED,Not Applicable,2025-05-07T15:22:30.815000Z,,,2025-05-14T07:37:13.469570Z,,,526,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7b2e109c1be49572b6b9,57b248d52075e2000113ba3d,APPROVED,Not Applicable,2025-05-07T15:24:33.748000Z,2025-05-07T15:42:17.911000Z,2025-05-07T17:08:44.637000Z,2025-05-07T15:42:18.440560Z,1065.0,C41MHPUZ,3000,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
681b7b5ab154ffbd9eb22081,6617d376619a2b4541498f2c,RETURNED,Not Applicable,2025-05-07T15:35:14.956000Z,,,2025-05-14T07:37:13.474270Z,,,1036,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7ba379fe077158c1b32e,5ef7783026861249d8eb58ef,RETURNED,Not Applicable,2025-05-07T15:26:31.285000Z,,,2025-05-14T07:37:13.474507Z,,,3289,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b7e01a30e28520da2dd6f,665486f73c9f68e40025d1d6,APPROVED,Not Applicable,2025-05-07T15:36:44.700000Z,2025-05-07T16:07:09.797000Z,2025-05-07T17:09:28.076000Z,2025-05-07T16:07:10.491849Z,1826.0,C41MHPUZ,399,31,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681b830e137f10f822323650,67ef4c37f1e3a6b457d0e046,APPROVED,Not Applicable,2025-05-07T16:00:20.195000Z,2025-05-07T16:20:35.595000Z,2025-05-07T17:09:38.394000Z,2025-05-07T16:20:36.312859Z,1216.0,C41MHPUZ,475,44,Male,White,United States,United States,United States,English,No,Full-Time
681b9438cf7aed02f7ee9d32,6584589847e4652b2516d4b3,RETURNED,Not Applicable,2025-05-07T17:13:55.741000Z,,,2025-05-14T07:37:13.475260Z,,,534,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9445bf9c5978b5fdf15c,67d33e4f80094e57fb58b377,REJECTED,Not Applicable,2025-05-07T17:11:41.120000Z,2025-05-07T17:26:43.498000Z,2025-05-14T07:27:30.590000Z,2025-05-14T07:37:13.479108Z,903.0,C41MHPUZ,651,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b944d079d50c11ed5c0ca,5ef5f74fb4a08f2676fb3aba,RETURNED,Not Applicable,2025-05-07T17:11:55.393000Z,2025-05-07T17:53:15.732000Z,,2025-05-14T07:37:13.477413Z,,NOCODE,3613,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b946418c3833e0972108c,67eb0949aa152a8338e9bed2,RETURNED,Not Applicable,2025-05-07T17:12:56.071000Z,,,2025-05-14T07:37:13.479760Z,,,559,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b946d4b07a1533c715ed7,663cebb84c1817c42e708fa9,RETURNED,Not Applicable,2025-05-07T17:12:13.123000Z,,,2025-05-14T07:37:13.482532Z,,,198,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b94e12abe33c5ccd8a984,68193d4efb2ec901719f86c9,RETURNED,Not Applicable,2025-05-07T17:14:24.591000Z,,,2025-05-14T07:37:13.483153Z,,,51,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b95126683aa13b8fbadc8,59bb884a3c45a10001ccc4f7,APPROVED,Not Applicable,2025-05-07T17:14:58.799000Z,2025-05-07T17:55:48.477000Z,2025-05-09T17:49:08.492000Z,2025-05-07T17:55:49.023445Z,2450.0,C41MHPUZ,3268,45,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681b95292abe33c5ccd8a98d,67d1030e4f22b40bbf0450a4,RETURNED,Not Applicable,2025-05-07T17:15:38.468000Z,,,2025-05-14T07:37:13.488295Z,,,620,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9531e8d93bbfb08e9938,67efff69f324a6e210be64a8,RETURNED,Not Applicable,2025-05-07T17:15:39.727000Z,,,2025-05-14T07:37:13.487337Z,,,55,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b95a5752180ee258a7119,5f2f21ab32376614a22ffdff,RETURNED,Not Applicable,2025-05-07T17:17:33.186000Z,,,2025-05-14T07:37:13.489076Z,,,1273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b95addd627430b207c457,6704181c27accbdcaf6e0701,RETURNED,Not Applicable,2025-05-07T17:17:40.156000Z,,,2025-05-14T07:37:13.488438Z,,,303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9694bbaf95a4f7df4d75,55b3120cfdf99b6ef6263a71,RETURNED,Not Applicable,2025-05-07T17:22:10.036000Z,,,2025-05-14T07:37:13.492509Z,,,6517,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b97073ec0254315f639c4,67da33c4bf8b1833da2d333d,TIMED-OUT,Not Applicable,2025-05-07T17:23:26.177000Z,,,2025-05-14T07:37:13.492752Z,569628.0,,192,46,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681b9827d443c268238a1fb8,66af82fe7c33867b3ed6efcb,APPROVED,Not Applicable,2025-05-07T17:28:07.244000Z,2025-05-07T18:27:21.682000Z,2025-05-09T19:02:43.537000Z,2025-05-07T18:27:22.234332Z,3555.0,C41MHPUZ,1464,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681b98464b5f8abadc6ea143,6287745dd285a8be832879dc,RETURNED,Not Applicable,2025-05-07T17:38:38.446000Z,,,2025-05-14T07:37:13.493631Z,,,1581,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9881c7f87c53d0271f2d,6527f5eccfec59211ca71643,RETURNED,Not Applicable,2025-05-07T17:29:44.043000Z,,,2025-05-14T07:37:13.496882Z,,,225,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b98a9c504a5850b573978,668a9e53e7690b3b64d48e92,APPROVED,Not Applicable,2025-05-07T17:30:17.055000Z,2025-05-07T18:17:59.072000Z,2025-05-09T17:49:27.614000Z,2025-05-07T18:17:59.817083Z,2863.0,C41MHPUZ,1060,47,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681b9922659e55d73898cd5a,66312107682958309ff7e0a1,RETURNED,Not Applicable,2025-05-07T17:32:18.265000Z,,,2025-05-14T07:37:13.499167Z,,,1163,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9983079d50c11ed5c1ba,67dff174e3c6d53e63e3a6a8,RETURNED,Not Applicable,2025-05-07T17:34:08.575000Z,2025-05-07T17:49:08.685000Z,,2025-05-14T07:37:13.501520Z,,C41MHPUZ,450,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9984d19a6c386c487995,5ba292385301b80001c71ba2,RETURNED,Not Applicable,2025-05-07T17:34:01.062000Z,,,2025-05-14T07:37:13.503981Z,,,11026,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9ac1c479ed755fb1776e,6717c466a1a5d0cb15bca12e,RETURNED,Not Applicable,2025-05-07T17:39:20.026000Z,,,2025-05-14T07:37:13.506728Z,,,1065,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9ac26d9646f9bf0e0818,67f049317779f9393f8b4dda,RETURNED,Not Applicable,2025-05-07T17:39:32.571000Z,,,2025-05-14T07:37:13.506500Z,,,464,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9b3d414d71c6703b1190,63174af7d57182f9bf90c094,RETURNED,Not Applicable,2025-05-07T17:41:17.175000Z,,,2025-05-14T07:37:13.508555Z,,,3227,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9be0cb8014a07e60fc5e,5b4cb0ebcf1ead0001fd8a7c,APPROVED,Not Applicable,2025-05-07T17:49:08.966000Z,2025-05-07T18:27:51.837000Z,2025-05-09T17:56:03.450000Z,2025-05-07T18:27:52.395393Z,2323.0,C41MHPUZ,1286,27,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681b9c8f07bae5dd31598346,67d33ea04df03ed7dc320f52,RETURNED,Not Applicable,2025-05-07T17:47:04.419000Z,,,2025-05-14T07:37:13.510327Z,,,238,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9ca257f62b723d3808c3,6717d0f52cc5e0a7f13b596a,RETURNED,Not Applicable,2025-05-07T17:47:14.799000Z,,,2025-05-14T07:37:13.509176Z,,,748,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9e60377e6936ab63339f,5c2f6d25e38ccd0001caab19,RETURNED,Not Applicable,2025-05-07T17:54:40.477000Z,,,2025-05-14T07:37:13.513309Z,,,2835,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681b9ee3182a3a542522f2fe,67ed926df89e5986c69860ec,APPROVED,Not Applicable,2025-05-07T17:56:57.652000Z,2025-05-07T19:00:47.600000Z,2025-05-09T17:49:47.489000Z,2025-05-07T19:00:48.117058Z,3830.0,C41MHPUZ,114,61,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681ba02cd385706cd97566ad,662a77ac31c42909f4327209,APPROVED,Not Applicable,2025-05-07T18:02:32.054000Z,2025-05-07T18:16:10.217000Z,2025-05-09T17:53:55.472000Z,2025-05-07T18:16:10.824882Z,819.0,C41MHPUZ,386,27,Female,White,United States,United States,United States,English,No,Full-Time
681ba0882fdf623299c21813,5cf42528e7c1d1001b527bbc,APPROVED,Not Applicable,2025-05-07T18:04:28.903000Z,2025-05-07T18:38:34.061000Z,2025-05-09T17:53:24.523000Z,2025-05-07T18:38:34.651842Z,2046.0,C41MHPUZ,679,28,Male,Black,Portugal,United Kingdom,Portugal,English,Yes,Unemployed (and job seeking)
681ba1477bf6c07e78d57a44,67f05b55b86cee54bc4ded6a,RETURNED,Not Applicable,2025-05-07T18:07:08.738000Z,,,2025-05-14T07:37:13.514922Z,,,314,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681ba207624c15388927aba1,680d155019b77b986ff85126,RETURNED,Not Applicable,2025-05-07T18:11:05.698000Z,,,2025-05-14T07:37:13.514910Z,,,273,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681ba77f42644729480e8e52,665dc46f6552a7a3a0039fe6,RETURNED,Not Applicable,2025-05-07T18:33:35.115000Z,,,2025-05-14T07:37:13.517121Z,,,868,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681ba7fe3ac695cf646ce139,67ebfd4d8ea1101322300f73,RETURNED,Not Applicable,2025-05-07T18:36:11.062000Z,,,2025-05-14T07:37:13.517872Z,,,382,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681ba8703f2f94e5b250ebac,6441375cb1939aa4f7c2778e,APPROVED,Not Applicable,2025-05-07T18:39:24.852000Z,2025-05-07T19:02:42.817000Z,2025-05-09T17:52:56.908000Z,2025-05-07T19:02:43.368968Z,1398.0,C41MHPUZ,417,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681ba8c07fe35a23bb77834f,5cf42528e7c1d1001b527bbc,APPROVED,Not Applicable,2025-05-07T18:38:56.964000Z,2025-05-07T19:55:24.672000Z,2025-05-09T17:53:22.801000Z,2025-05-07T19:55:25.292587Z,4588.0,C41MHPUZ,679,28,Male,Black,Portugal,United Kingdom,Portugal,English,Yes,Unemployed (and job seeking)
681baa50675e817b92786fb7,67c90b0bb47c0e56b5f2724e,RETURNED,Not Applicable,2025-05-07T18:45:44.781000Z,,,2025-05-14T07:37:13.523252Z,,,112,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681baac51364c95f69e7870f,66ccca31c45aad520357f3fb,RETURNED,Not Applicable,2025-05-07T18:47:50.344000Z,,,2025-05-14T07:37:13.522896Z,,,795,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681baac531907055a8a79533,57d5ab3a722df500017f3622,RETURNED,Not Applicable,2025-05-07T18:57:33.355000Z,,,2025-05-14T07:37:13.524803Z,,,6865,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681baba25ae90e328b6648bb,66c4a32221f616ebf48ab21d,RETURNED,Not Applicable,2025-05-07T18:51:17.331000Z,,,2025-05-14T07:37:13.526719Z,,,1016,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681bac096b90337ec517a6ff,6664b8146408ebc8a3d7ea6e,APPROVED,Not Applicable,2025-05-07T18:52:57.695000Z,2025-05-07T19:57:32.865000Z,2025-05-09T17:52:15.967000Z,2025-05-07T19:57:33.517932Z,3876.0,C41MHPUZ,1321,32,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bad14f2021aa627d58d8c,63468b5809bf04222262bfed,RETURNED,Not Applicable,2025-05-07T18:57:29.192000Z,,,2025-05-14T07:37:13.527657Z,,,3421,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681bad783b08a04d4e53d435,63468b5809bf04222262bfed,RETURNED,Not Applicable,2025-05-07T18:59:04.659000Z,,,2025-05-14T07:37:13.529708Z,,,3421,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681baec18377d51246c9e98c,67f2e0ae034b1eab0b51d81c,APPROVED,Not Applicable,2025-05-07T19:04:41.711000Z,2025-05-07T19:29:47.923000Z,2025-05-09T17:52:05.490000Z,2025-05-07T19:29:48.398768Z,1507.0,C41MHPUZ,406,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681e5ce50511a76e32f33570,5c8ba607c5366c0001d022cb,RETURNED,Not Applicable,2025-05-09T20:02:05.268000Z,,,2025-05-14T07:37:13.531085Z,,,3923,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681e5ce600752d78c965278f,66cb2e0bd2169db778550269,APPROVED,Not Applicable,2025-05-09T19:55:45.960000Z,2025-05-09T20:11:49.318000Z,2025-05-11T01:07:28.789000Z,2025-05-09T20:11:49.925087Z,964.0,C41MHPUZ,951,25,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681e5ce60394b217fcc6e6ee,62fd14d7b1e0729dc8aadb79,RETURNED,Not Applicable,2025-05-09T19:58:36.581000Z,,,2025-05-14T07:37:13.531656Z,,,1309,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681e5ce60ca9c0a3e3750bf8,667439c6372889c378fc8bdb,RETURNED,Not Applicable,2025-05-09T19:52:15.269000Z,,,2025-05-14T07:37:13.532551Z,,,434,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681e5ce70283b180193fc3f1,5b22694763b71800019fa5ba,RETURNED,Not Applicable,2025-05-09T20:02:07.663000Z,,,2025-05-14T07:37:13.533866Z,,,1174,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681e5ce7808d5d82ff39e72e,62d6d87d91cf24a3c1c0f10c,APPROVED,Not Applicable,2025-05-09T19:52:11.008000Z,2025-05-09T20:02:44.600000Z,2025-05-11T01:07:01.929000Z,2025-05-09T20:02:45.183808Z,634.0,C41MHPUZ,2061,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681e5ce80fd43046efe6de95,67d1e8cc4e0fd9dcd8ceed97,RETURNED,Not Applicable,2025-05-09T19:52:14.317000Z,,,2025-05-14T07:37:13.549933Z,,,342,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681e5ce881f58dbd7696497c,588d4876b08cc30001b77a5e,RETURNED,Not Applicable,2025-05-09T19:52:18.831000Z,,,2025-05-14T07:37:13.537097Z,,,2991,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
