ResponseId,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q52,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,PROLIFIC_PID,num_valid_steps_left,num_valid_steps_right,max_steps_left,max_steps_right,CorrectLeftDataEntry,CorrectRightDataEntry,SoftFlag,Flagged,num_left_correct,num_right_correct
R_2pngZLZTEoWzKeV,5/9/25 14:55,5/9/25 15:14,IP Address,185.111.174.129,100,1143,TRUE,5/9/25 15:14,R_2pngZLZTEoWzKeV,,,,,51.5539,0.0487,anonymous,EN,66bb63dab2b110041a61af00,create a list of the top 20 best selling nintendo switch games,nintendo_switch_games1,Yes - text was produced showing the agent working through the task,the right model failed and did not complete the task after step 6,"Yes, I can identify the steps from the model's output",,09_05_2025_20_58_23_Idv,Correct,Correct,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_20_58_23_unx,Correct,Correct,Correct,Correct,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,66bb63dab2b110041a61af00,7,7,7,7,TRUE,TRUE,FALSE,FALSE,1,0.857142857
R_7eDlNGi2GIol4WD,5/9/25 15:15,5/9/25 15:38,IP Address,24.150.120.249,100,1326,TRUE,5/9/25 15:38,R_7eDlNGi2GIol4WD,,,,,43.4879,-79.7113,anonymous,EN,67acbb030811018b016dcaf7,What are the first 5 video titles on youtube homepage?,youtube_1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_21_06_MSm,Correct,Correct,Correct,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_21_06_kAA,Correct,incorrect,incorrect,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,67acbb030811018b016dcaf7,6,6,6,6,TRUE,TRUE,FALSE,FALSE,0.833333333,0.5
R_2ozlzIOko5qUQiB,5/9/25 15:24,5/9/25 15:50,IP Address,5.151.145.20,100,1508,TRUE,5/9/25 15:50,R_2ozlzIOko5qUQiB,,,,,53.7945,-1.5524,anonymous,EN,6658b1b56a1df274ee633fdc,Check all ticket touting websites and find the cheapest ticket I can get to Man City vs Bournemouth on the 20th of May,mcfctix_1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_28_12_OnA,Correct,Correct,Correct,Correct,incorrect,Correct,Correct,Correct,Correct,Correct,Correct,incorrect,Correct,incorrect,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_28_12_RJD,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,6658b1b56a1df274ee633fdc,14,3,14,3,TRUE,TRUE,FALSE,FALSE,0.785714286,0.666666667
R_5niMk8Hq8OAK5OW,5/9/25 15:23,5/9/25 15:58,IP Address,71.57.53.83,100,2141,TRUE,5/9/25 15:58,R_5niMk8Hq8OAK5OW,,,,,41.4934,-87.3548,anonymous,EN,6643be675817fd2a43298a04,a list of top 10 churches ,church1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_30_52_Eso,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_30_52_wcO,Correct,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,6643be675817fd2a43298a04,3,4,3,4,TRUE,TRUE,FALSE,FALSE,1,0.75
R_2dMiJQNgGTesd84,5/9/25 15:34,5/9/25 16:05,IP Address,87.114.73.241,100,1853,TRUE,5/9/25 16:05,R_2dMiJQNgGTesd84,,,,,53.6503,-3.0108,anonymous,EN,63af557b3d4f219c3226b7d6,"Please review Glasgow Celtic's fixtures from this season 2024/2025 so far and tell me how many goals they have scored across all competitive competitions and then review the goals and give me the distribution of goals in 10 minute intervals of games, e.g.0-10 minutes, 11-20 minutes21-30 minutes etc all the way up to 90 minutes and then include injury time as a separate interval.",GlasgowCelticgoals1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_42_22_kZY,Correct,Correct,Correct,Correct,incorrect,incorrect,incorrect,incorrect,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_42_22_SdT,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,63af557b3d4f219c3226b7d6,9,1,9,1,TRUE,TRUE,FALSE,FALSE,0.444444444,0
R_8wt7STKtbJLAHS3,5/9/25 15:23,5/9/25 16:12,IP Address,216.120.189.104,100,2914,TRUE,5/9/25 16:12,R_8wt7STKtbJLAHS3,,,,,51.5081,-0.1278,anonymous,EN,67402c1286cd87fe38f29ffd,"give me a recipe for making pasta with cheese from the top 3 cooking websites, make it environmentally sustainable.",cooking recipe,Yes - text was produced showing the agent working through the task,"A lot of instructions to read and understand, but they were clear and direct. ","Yes, I can identify the steps from the model's output",,09_05_2025_21_36_59_crp,correct,correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_36_59_AvQ,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,left,67402c1286cd87fe38f29ffd,3,1,3,1,TRUE,TRUE,FALSE,FALSE,0.666666667,0
R_1eUEZ3u2lJxihkN,5/9/25 15:30,5/9/25 16:13,IP Address,99.255.104.245,100,2599,TRUE,5/9/25 16:13,R_1eUEZ3u2lJxihkN,,,,,43.4228,-80.3618,anonymous,EN,6544fd514964fea23051c3b7,List out the symptoms of Vitamin D deficiency from WebMd and any other medical website,WebMd_query1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_40_30_XjR,Correct,Correct,incorrect,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_40_30_YEs,Correct,Correct,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,6544fd514964fea23051c3b7,8,3,8,3,TRUE,TRUE,FALSE,FALSE,0.875,0.666666667
R_3TyGUyodtUotDX6,5/9/25 15:38,5/9/25 16:21,IP Address,142.186.128.103,100,2608,TRUE,5/9/25 16:21,R_3TyGUyodtUotDX6,,,,,43.7321,-79.5096,anonymous,EN,67ae36e6472072f99199d636,Tell me different Plane ticket price from different websites for a one way trip from Ontario to Ottawa ,Ottawa Trip 1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_21_41_14_YwM,Correct,Correct,incorrect,Correct,Correct,Correct,incorrect,Correct,Correct,incorrect,Correct,incorrect,Correct,incorrect,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_21_41_14_DvE,Correct,Correct,incorrect,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,67ae36e6472072f99199d636,14,4,14,4,TRUE,TRUE,FALSE,FALSE,0.642857143,0.5
R_8NxLR6b2kD3g2a8,5/9/25 15:57,5/9/25 16:47,IP Address,82.39.167.4,100,3021,TRUE,5/9/25 16:47,R_8NxLR6b2kD3g2a8,,,,,51.5323,0.7101,anonymous,EN,6668d4917e343a318af11adf,Compare prices of HP laptop model across different online retailers,Compare@retailers_1,Yes - text was produced showing the agent working through the task,This was quite a task,"Yes, I can identify the steps from the model's output",,09_05_2025_22_23_29_cgB,Correct,Correct,Correct,Correct,incorrect,incorrect,incorrect,incorrect,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_22_23_29_IXB,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,6668d4917e343a318af11adf,9,1,9,1,TRUE,TRUE,FALSE,FALSE,0.444444444,0
R_7K1ysv6mGjgpiNj,5/9/25 16:26,5/9/25 17:11,IP Address,136.55.181.8,100,2701,TRUE,5/9/25 17:11,R_7K1ysv6mGjgpiNj,,,,,33.8336,-84.3797,anonymous,EN,67d1e8cc4e0fd9dcd8ceed97,Give me a summary of this week's best-selling crypto coins.,Wikipedia_3,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_22_39_53_FuI,Correct,Correct,incorrect,incorrect,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_22_39_53_htb,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,67d1e8cc4e0fd9dcd8ceed97,5,1,5,1,TRUE,TRUE,FALSE,FALSE,0.6,0
R_3Ea1qGxtNBUB1sx,5/9/25 16:31,5/9/25 17:15,IP Address,73.80.203.104,100,2637,TRUE,5/9/25 17:15,R_3Ea1qGxtNBUB1sx,,,,,40.4327,-74.4197,anonymous,EN,677d99129a69144291bf24bd,get me online price details comparison of samsung qled 75 inch tv from 5 leading retailers in usa along with price from samsung website ,samsungtv1,Yes - text was produced showing the agent working through the task,,"No, I cannot identify any steps clearly from the model's output",Error messages which are not really identifiable kind of javascript type of languages,09_05_2025_22_44_26_YNT,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_22_44_26_xEk,Correct,Correct,Correct,incorrect,incorrect,correct,correct,correct,correct,correct,correct,correct,incorrect,N/A,N/A,right,677d99129a69144291bf24bd,12,13,12,13,TRUE,TRUE,FALSE,FALSE,0,0.769230769
R_5r2m2MDD1lxdbeV,5/9/25 17:10,5/9/25 17:29,IP Address,172.59.78.118,100,1110,TRUE,5/9/25 17:29,R_5r2m2MDD1lxdbeV,,,,,38.9528,-94.4705,anonymous,EN,665f5744f064b435b440a803,how is the weather today,665f5744f064b435b440a803,Yes - text was produced showing the agent working through the task,nope,"Yes, I can identify the steps from the model's output",,09_05_2025_23_09_20_BUj,correct,correct,correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, I cannot identify any steps clearly from the model's output",failed,09_05_2025_23_09_20_MfC,incorrect,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,left,665f5744f064b435b440a803,3,2,3,2,TRUE,TRUE,FALSE,FALSE,1,0
R_2X6ddrI1v9IKBvF,5/9/25 17:53,5/9/25 18:15,IP Address,82.39.167.4,100,1293,TRUE,5/9/25 18:15,R_2X6ddrI1v9IKBvF,,,,,51.5323,0.7101,anonymous,EN,6668d4917e343a318af11adf,What are today's top 5 political news in UK,political.uk,Yes - text was produced showing the agent working through the task,This task was quite easy and tactical to complete ,"Yes, I can identify the steps from the model's output",,10_05_2025_00_01_48_pTG,incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,10_05_2025_00_01_48_LVO,Correct,Correct,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Right,6668d4917e343a318af11adf,1,7,1,7,TRUE,TRUE,FALSE,FALSE,0,1
R_2CCU5Z8Ziyymst9,5/9/25 17:56,5/9/25 18:16,IP Address,86.140.203.231,100,1165,TRUE,5/9/25 18:16,R_2CCU5Z8Ziyymst9,,,,,55.1362,-6.6737,anonymous,EN,6776bd45548f97b8129afed9,What are today's top 10 most popular articles on buzzfeed?,buzzfeedtop10articles1,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,10_05_2025_00_00_27_IAX,Correct,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,10_05_2025_00_00_27_TVe,Correct,Correct,Correct,Correct,Correct,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tie,6776bd45548f97b8129afed9,6,6,6,6,TRUE,TRUE,FALSE,FALSE,1,1
R_1vrlsMfeylfab3H,5/9/25 17:55,5/9/25 18:16,IP Address,154.6.177.46,100,1281,TRUE,5/9/25 18:16,R_1vrlsMfeylfab3H,,,,,37.751,-97.822,anonymous,EN,673cf6d476dc4af064402a8c,is deportation the best solution for illegal migrants?,data collection,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,09_05_2025_23_49_59_oZV,Incorrect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, I can identify the steps from the model's output",,09_05_2025_23_49_59_ugh,correct,correct,correct,correct,correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,right,673cf6d476dc4af064402a8c,1,5,1,5,TRUE,TRUE,FALSE,FALSE,0,1
R_7WxuNjopoBhjby8,5/9/25 19:09,5/9/25 19:51,IP Address,24.192.168.61,100,2495,TRUE,5/9/25 19:51,R_7WxuNjopoBhjby8,,,,,42.5538,-82.9185,anonymous,EN,62d43cee3d60ac98c1dcacc8,What are the names of the top 20 most frequently visited lakes in the world currently?,lakesasthetopic,Yes - text was produced showing the agent working through the task,,"Yes, I can identify the steps from the model's output",,10_05_2025_01_25_04_TAY,Correct,incorrect,Correct,Correct,Correct,Correct,Correct,incorrect,Correct,Correct,Correct,Correct,Correct,N/A,N/A,"Yes, I can identify the steps from the model's output",,10_05_2025_01_25_04_TTJ,Correct,incorrect,Correct,incorrect,Correct,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Left,62d43cee3d60ac98c1dcacc8,13,5,13,5,TRUE,TRUE,FALSE,FALSE,0.846153846,0.6
